FID,Veg_Plot,60_Meter,NW_AK_Sn,Veg_Class,GPScorDD84,GPScorDD_1,hae,GPScorZ,GPStrmMode,GPStrmDate,GPStrmTime,GPScorVert,GPScorHorz,Notes,Tree,Tall_Shr,Mid_Tall,Low_Shru,Dwarf_Sh,Graminoi,Forbs,Bryophyt,Lichens,Soil,Duff,Rock,Water,B1,B2,B3,B4,B5,B7,NDVI
0,Acid1,4953,146,Acid,-150.421579,68.04765,1527.312,1518.519,GeoXH 2005,7/25/12 0:00,12:31:22pm,0.9,0.6, ,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,131,148,134,82,147,2,50
1,Acid123,3152,166,Acid,-154.639125,67.200064,962.626,954.695,GeoXH 2005,7/6/12 0:00,02:02:28pm,0.7,0.5, ,0,3,3,0.25,45,0.5,0,10,0,0,0,0,0,48,56,39,61,89,6,23
2,Acid141,3593,140,Basic,-150.530551,67.729479,1086.7,1078.118,GeoXH 2005,7/19/12 0:00,04:33:33pm,0.5,0.5, ,0,0,0,0,10,0.25,0,0,0,0,0,0,0,179,204,168,132,193,3,73
3,Acid148,3605,94,Basic,-154.613435,68.343623,1083.326,1076.687,GeoXH 2005,8/11/12 0:00,03:56:52pm,0.7,0.6, ,0,0,0,0,0,0.5,0,0,0,0,0,0,0,158,173,160,97,173,3,60
4,Acid155,5029,131,Basic,-154.63249,68.339265,1529.799,1523.144,GeoXH 2005,8/12/12 0:00,02:49:26pm,0.5,0.6, ,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,253,255,229,145,255,2,88
5,Acid174,3124,139,Acid,-155.571803,67.958701,974.753,967.622,GeoXH 2005,8/4/12 0:00,04:16:13pm,1,0.7, ,0,0.5,0.5,10,0.5,0.5,0,5,0,0,0,0,0,44,43,32,37,60,2,17
6,Acid18,3775,154,Acid,-150.415726,68.06361,1150.786,1141.999,GeoXH 2005,7/25/12 0:00,02:56:20pm,0.8,0.4, ,0,0,0,0,10,0.5,0,35,0,0,0,0,0,67,69,59,54,101,1,28
7,Acid187,3401,140,Basic,-150.507102,67.742953,1021.729,1013.125,GeoXH 2005,7/19/12 0:00,11:48:12am,3.4,1.4, ,0,0,0,0.5,15,0,0,0.5,0,0,0,0,0,141,139,119,82,205,3,48
8,Acid191,4427,132,Acid,-150.548102,68.050502,1346.725,1338.059,GeoXH 2005,7/23/12 0:00,02:55:42pm,0.7,0.5, ,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,105,126,110,77,126,3,45
9,Acid6,4474,122,Acid,-153.199695,67.88561,1353.304,1345.859,GeoXH 2005,8/10/12 0:00,02:33:05pm,0.5,0.5, ,0,0,0,0.5,0,0,0,0,0,0,0,0,0,133,145,121,73,104,6,45
10,Acid70,6013,154,Acid,-150.504191,68.089745,1856.197,1847.524,GeoXH 2005,7/26/12 0:00,12:48:59pm,0.5,0.4, ,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,119,127,110,74,204,2,44
11,Acid91,4711,143,Basic,-154.658217,68.340994,1416.741,1410.108,GeoXH 2005,8/12/12 0:00,04:50:17pm,0.7,0.5, ,0,0,0,0,10,0.5,0,3,0,0,0,0,0,67,58,52,43,77,3,23
12,Alder1,2335,146,Decid/Alder/Willow,-154.640143,67.187954,724.346,716.408,GeoXH 2005,7/6/12 0:00,05:14:38pm,0.7,0.8, ,0,90,90,5,25,0.5,0,3,0,0,0,0,0,36,65,36,193,137,6,30
13,Alder19,2467,144,Decid/Alder/Willow,-155.437668,67.980597,749.412,742.164,GeoXH 2005,8/5/12 0:00,10:11:27am,0.6,0.5, ,0,20,30,15,0.5,65,0,1,0,0,0,0,0,48,72,59,113,154,3,38
14,Alder28,2103,146,Decid/Alder/Willow,-154.544579,67.174809,603.296,595.309,GeoXH 2005,7/3/12 0:00,11:31:11am,0.6,0.5, ,0,80,80,0.5,0.5,0.25,0,1,0,0,0,0,0,27,42,23,125,91,6,19
15,Alder5,2678,122,Decid/Alder/Willow,-153.03447,67.406899,786.83,778.814,GeoXH 2005,8/21/12 0:00,03:44:04pm,0.7,0.6, ,0,95,95,10,0,0.5,0,1,0,0,0,0,0,48,67,30,212,163,3,26
16,Alder59,1952,138,Decid/Alder/Willow,-154.511817,67.220283,595,0,-,7/5/12 0:00,-,0,0,Lat/Long and elevation are GIS generated. Vegetation and topography prevented obtaining point with GPS.,0,97,97,3,0.5,10,0,0.5,0,0,0,0,0,30,62,23,241,166,7,20
17,Basic10,3487,118,Acid,-155.466718,67.988193,1074.102,1066.902,GeoXH 2005,8/1/12 0:00,11:00:08am,0.9,0.8, ,0,0,0,0.5,1,0.5,0,0.5,0,0,0,0,0,74,81,65,61,194,2,31
18,Basic11,3371,116,Acid,-155.478432,67.989785,1040.681,1033.497,GeoXH 2005,8/1/12 0:00,02:04:43pm,0.8,0.5, ,0,0,0,0,0,0,0,0.5,0,0,0,0,0,85,75,66,46,189,2,27
19,Basic17,3741,124,Acid,-155.330103,67.970933,1153.809,1146.43,GeoXH 2005,8/2/12 0:00,04:53:32pm,1.5,1.1, ,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0,83,87,69,53,216,3,29
20,Basic18,3966,140,Basic,-153.019989,67.370025,1187.281,1179.187,GeoXH 2005,8/20/12 0:00,04:48:24pm,0.6,0.7, ,0,0,0.5,0,25,0.5,0,0.5,0,0,0,0,0,160,170,143,114,200,5,63
21,Basic23,2536,140,Basic,-153.725544,67.366313,784.878,776.876,GeoXH 2005,7/9/12 0:00,02:56:51pm,1,0.8, ,0,0.25,0.25,0,3,0.25,0,0.25,0,0,0,0,0,77,89,67,64,119,6,32
22,Basic3,2546,144,Basic,-153.761812,67.385541,800.234,792.269,GeoXH 2005,7/11/12 0:00,05:43:04pm,1,0.8, ,0,0.25,0.25,0.25,50,0.5,0,0.5,0,0,0,0,0,39,40,31,45,64,7,18
23,Basic32,2434,147,Basic,-153.707325,67.374366,758.568,750.577,GeoXH 2005,7/9/12 0:00,07:27:52pm,0.7,0.5, ,0,0,0,0,60,10,0,0,0,0,0,0,0,36,48,39,58,86,7,23
24,Basic34,3119,154,Basic,-153.761022,67.330364,972.01,963.956,GeoXH 2005,7/12/12 0:00,04:32:53pm,0.7,0.6, ,0,5,5,1,35,0.5,0,1,0,0,0,0,0,31,39,28,58,69,6,18
25,Basic6,3357,148,Basic,-153.744984,67.32815,1017.746,1009.685,GeoXH 2005,7/12/12 0:00,01:53:11pm,1.1,0.7, ,0,0.5,0.5,0.5,45,0.5,0,0.5,0,0,0,0,0,27,28,25,56,56,6,17
26,Decid11,1088,138,Needle,-155.727116,66.87743,335.638,328.272,GeoXH 2005,6/30/12 0:00,01:00:59pm,2.8,1.4, ,0,25,30,30,3,3,0,0.5,0,0,0,0,0,34,47,31,165,134,9,26
27,Decid4,2117,138,Needle,-152.944047,67.385887,632.699,624.627,GeoXH 2005,8/19/12 0:00,11:07:03am,1.3,0.8, ,0,55,55,0.5,0.5,10.5,0,70,0,0,0,0,0,41,47,23,127,106,3,19
28,Decid8,1560,138,Decid/Alder/Willow,-154.5061,67.218417,475,0,-,7/5/12 0:00,-,0,0,Lat/Long and elevation are GIS generated. Vegetation and topography prevented obtaining point with GPS.,0,100,100,0.5,0.5,0,0,0.5,0,0,0,0,0,34,58,26,255,159,7,23
29,Dwarf101,3771,148,Dwarf,-153.022061,67.375546,1131.251,1123.169,GeoXH 2005,8/18/12 0:00,06:15:47pm,2,0.7, ,0,0,0.5,0,60,0.5,0,3,0,0,0,0,0,42,50,40,71,90,5,25
30,Dwarf107,3639,113,Dwarf,-154.610084,68.338215,1107.65,1100.98,GeoXH 2005,8/12/12 0:00,10:44:34am,0.7,0.7, ,0,0,0,0.5,75,0.5,0,0.5,0,0,0,0,0,86,123,97,173,239,3,62
31,Dwarf123,3789,148,Dwarf,-150.484076,67.793528,1148.539,1139.881,GeoXH 2005,7/20/12 0:00,04:38:21pm,0.5,0.5, ,0,0.5,0.5,0.5,75,10,0,1,0,0,0,0,0,56,85,60,182,185,3,45
32,Dwarf14,4025,136,Dwarf,-150.394067,68.105606,1243.661,1234.901,GeoXH 2005,7/24/12 0:00,12:51:41pm,1.1,0.6, ,0,0,0,0,60,1,0,5,0,0,0,0,0,79,105,87,156,214,2,55
33,Dwarf17,3696,148,Dwarf,-150.525726,68.049523,1140.956,1132.267,GeoXH 2005,7/23/12 0:00,05:03:51pm,0.6,0.5, ,0,0,0.5,0.5,65,0.5,0,10,0,0,0,0,0,73,89,73,152,217,2,49
34,Dwarf18,4345,144,Dwarf,-154.508255,68.346267,1322.718,1316.053,GeoXH 2005,8/13/12 0:00,03:26:21pm,0.6,0.6, ,0,0,0,0,45,0.5,0,5,0,0,0,0,0,103,123,104,125,229,3,56
35,Dwarf19,3807,138,Dwarf,-153.284523,67.897029,1151.265,1143.793,GeoXH 2005,8/7/12 0:00,11:01:11am,0.6,0.5, ,0,0,0,0.5,75,5,0,15,0,0,0,0,0,63,93,73,200,214,6,53
36,Dwarf2,3176,146,Dwarf,-153.776619,67.377746,971.44,963.464,GeoXH 2005,7/11/12 0:00,01:34:31pm,1,0.7, ,0,0,0,0.5,20,5,0,0.5,0,0,0,0,0,74,87,83,101,159,6,45
37,Dwarf20,4021,148,Dwarf,-150.474741,68.081023,1222.165,1213.453,GeoXH 2005,7/22/12 0:00,04:36:35pm,0.5,0.5, ,0,0,0,0,75,1,0,1,0,0,0,0,0,88,112,89,173,250,2,58
38,Dwarf29,4426,143,Dwarf,-154.539214,68.331212,1344.918,1338.183,GeoXH 2005,8/13/12 0:00,11:55:53am,0.6,0.4, ,0,0,0,0,20,40,0,25,0,0,0,0,0,54,79,74,100,157,5,42
39,Dwarf39,3993,144,Dwarf,-153.211098,67.887088,1201.443,1193.995,GeoXH 2005,8/10/12 0:00,03:29:47pm,0.6,0.5, ,0,0.5,5,0,40,10,0,50,0,0,0,0,0,48,86,68,168,182,6,48
40,Dwarf68,3484,144,Dwarf,-155.438449,68.000771,1042.515,1035.307,GeoXH 2005,8/5/12 0:00,01:59:49pm,1.5,0.7, ,0,0.5,0.5,0.5,60,10,0,15,0,0,0,0,0,58,73,62,120,149,3,40
41,Dwarf83,3718,138,Dwarf,-155.335227,67.974048,1135.169,1127.801,GeoXH 2005,8/2/12 0:00,01:47:48pm,0.7,0.5, ,0,0,0,0.5,35,40,0,20,0,0,0,0,0,58,70,62,115,141,3,40
42,Dwarf88,3571,139,Dwarf,-155.421589,68.003628,1088.535,1081.314,GeoXH 2005,8/5/12 0:00,05:08:52pm,0.7,0.5, ,0,0,0.5,10,65,20,0,3,0,0,0,0,0,73,107,79,196,213,2,56
43,Lowerc88,3595,148,Low Eric/Tussock,-155.530473,67.962247,766.129,758.955,GeoXH 2005,8/4/12 0:00,10:03:57am,0.6,0.4, ,0,0,0.5,0.5,30,25,0,10,0,0,0,0,0,46,78,54,140,153,3,38
44,Loweric6,3400,146,Low Eric/Tussock,-150.446115,68.068224,1099.2,1090.447,GeoXH 2005,7/25/12 0:00,06:01:53pm,1.4,0.7, ,0,0,0,3,35,1,0,55,0,0,0,0,0,57,81,61,126,141,2,41
45,Lowrc149,3316,146,Low Eric/Tussock,-150.357429,68.098016,1045.898,1037.094,GeoXH 2005,7/24/12 0:00,04:32:18pm,0.6,0.5, ,0,3,10,80,3,40,0,30,0,0,0,0,0,53,75,61,139,185,2,42
46,Lowrc34,3326,144,Low Eric/Tussock,-153.25538,67.880026,1000.099,992.63,GeoXH 2005,8/10/12 0:00,09:53:10am,0.6,0.4, ,0,0.5,10,65,15,30,0,20,0,0,0,0,0,51,77,51,159,175,5,38
47,Lowrc39,599,134,Low Eric/Tussock,-153.307206,67.873168,991.806,984.316,GeoXH 2005,8/7/12 0:00,05:58:08pm,0.5,0.4, ,0,0,0,20,10,60,0,5,0,0,0,0,0,53,69,58,125,146,5,39
48,Lowrc43,1956,138,Low Eric/Tussock,-155.65645,66.858521,177.529,170.119,GeoXH 2005,6/29/12 0:00,11:47:53am,0.7,0.6, ,0,1,50,25,10,65,0,55,0,0,0,0,0,49,81,62,138,159,9,42
49,Lowrc45,3257,142,Low Eric/Tussock,-153.020887,67.402601,551.307,543.281,GeoXH 2005,8/21/12 0:00,11:30:01am,0.6,0.5, ,0,0,0.5,75,0,40,0,25,0,0,0,0,0,51,71,52,151,167,4,38
50,Lowrc48,636,129,Low Eric/Tussock,-153.298367,67.893428,977.461,969.983,GeoXH 2005,8/7/12 0:00,02:36:06pm,0.6,0.5, ,0,0.25,0.25,45,5,65,0,1,0,0,0,0,0,57,83,58,157,169,5,42
51,Lowrc60,2520,127,Low Eric/Tussock,-155.647037,66.847237,189.865,182.448,GeoXH 2005,6/29/12 0:00,02:17:17pm,0.6,0.4, ,0,0,0,10,45,20,0,30,0,0,0,0,0,47,78,58,155,159,9,42
52,Mafic10,2873,124,Mafic,-155.603398,66.900249,886.876,879.44,GeoXH 2005,6/28/12 0:00,11:55:51am,0.9,0.9, ,0,0,0,1,30,0.5,0,0.5,0,0,0,0,0,81,111,98,110,226,8,51
53,Mafic11,4573,146,Acid,-150.4739,67.784572,1404.37,1395.712,GeoXH 2005,7/20/12 0:00,02:52:53pm,0.7,0.5, ,0,0.5,0.5,0.5,15,0,0,0.5,0,0,0,0,0,102,120,99,65,106,3,39
54,Mafic19,2556,132,Mafic,-155.609752,66.906265,804.551,797.119,GeoXH 2005,6/28/12 0:00,05:43:05pm,0.6,0.6, ,0,1,0.5,10,0.5,0.25,0,0.25,0,0,0,0,0,65,100,78,104,209,8,44
55,Mafic2,5224,148,Acid,-150.434606,67.790564,1607.051,1598.357,GeoXH 2005,7/21/12 0:00,03:22:37pm,0.6,0.7, ,0,0,0,0,0,0,0,0.5,0,0,0,0,0,235,255,228,124,181,3,80
56,Mafic31,3089,140,Acid,-150.509053,67.773623,970.996,962.373,GeoXH 2005,7/18/12 0:00,02:25:05pm,0.5,0.5, ,0,0.5,0.5,10,15,0.5,0,0.5,0,0,0,0,0,118,142,114,119,146,3,58
57,Mafic7,4997,146,Acid,-150.422917,67.787351,1519.625,1510.925,GeoXH 2005,7/21/12 0:00,05:37:40pm,0.7,0.6, ,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,198,246,220,122,189,3,78
58,Mafic8,3338,132,Mafic,-155.571465,66.89945,1038.712,1031.257,GeoXH 2005,7/1/12 0:00,01:30:25pm,0.8,0.8, ,0,0,0.25,5,1,0.25,0,60,0,0,0,0,0,88,103,83,85,224,8,41
59,Needl101,590,138,Needle,-155.646519,66.928753,178.948,171.541,GeoXH 2005,6/27/12 0:00,02:20:07pm,1.7,1.4, ,0,70,75,30,0.5,3,0,10,0,0,0,0,0,27,34,17,110,80,7,14
60,Needl200,580,140,Needle,-155.611889,66.928066,181.831,174.403,GeoXH 2005,6/27/12 0:00,10:12:16am,1.5,0.8, ,0,25,75,85,0.5,5,0,30,0,0,0,0,0,35,41,27,110,89,7,21
61,Needle21,901,140,Needle,-155.736097,66.872879,275.245,267.883,GeoXH 2005,6/30/12 0:00,01:54:31pm,0.6,0.5, ,0,25,35,30,5,0.5,0,60,0,0,0,0,0,38,58,34,133,105,9,27
62,Needle36,1175,134,Needle,-153.63361,67.347471,329.671,321.624,GeoXH 2005,7/8/12 0:00,06:29:58pm,1.1,0.8, ,0,50,65,65,60,10,0,0.5,0,0,0,0,0,30,54,33,131,118,7,26
63,Needle4,1151,136,Needle,-154.552603,67.240617,327.973,320.031,GeoXH 2005,7/4/12 0:00,03:15:05pm,1.4,1.8, ,0,95,95,30,0.5,0.5,0,20,0,0,0,0,0,26,37,16,88,60,8,13
64,Needle6,1124,136,Needle,-153.720806,67.354598,322.563,314.542,GeoXH 2005,7/10/12 0:00,01:49:07pm,0.6,0.4, ,0,20,25,25,35,3,0,1,0,0,0,0,0,39,59,34,131,124,7,26
65,Needle60,781,144,Needle,-154.522258,67.200937,228.306,220.327,GeoXH 2005,7/7/12 0:00,03:58:41pm,1.9,0.9, ,0,60,70,95,90,0.5,0,75,0,0,0,0,0,37,57,40,120,120,7,30
66,Needle65,2266,132,Needle,-150.486301,67.747529,671.389,662.767,GeoXH 2005,7/17/12 0:00,05:20:42pm,0.7,0.4, ,0,25,30,15,20,1,0,60,0,0,0,0,0,41,70,47,149,161,3,35
67,Needle7,1086,144,Needle,-154.570709,67.196974,310.063,302.101,GeoXH 2005,7/2/12 0:00,03:46:21pm,1.3,1.4, ,0,60,70,60,10,0.5,0,1,0,0,0,0,0,29,42,33,120,95,7,25
68,Needle84,821,142,Needle,-154.477268,67.182222,251.777,243.766,GeoXH 2005,7/7/12 0:00,01:02:56pm,0.6,0.5, ,0,20,25,10,35,5,0,40,0,0,0,0,0,40,52,47,93,124,7,31
69,Tusck10,3521,146,Low Eric/Tussock,-153.349552,67.844114,1070.687,1063.172,GeoXH 2005,8/9/12 0:00,01:59:50pm,1.7,0.7, ,0,5,30,35,3,50,0,20,0,0,0,0,0,61,85,77,174,194,6,53
70,Tusck14,2845,136,Low Eric/Tussock,-155.358875,67.954549,871.779,864.402,GeoXH 2005,8/3/12 0:00,02:44:27pm,0.7,0.5, ,0,0,0,15,0,80,0,10,0,0,0,0,0,60,84,65,135,177,2,43
71,Tusck27,2456,116,Low Eric/Tussock,-155.493491,67.97843,750.42,743.232,GeoXH 2005,8/1/12 0:00,05:29:34pm,0.7,0.5, ,0,0,3,30,40,20,0,3,0,0,0,0,0,72,91,73,126,200,4,46
72,Tusck44,3219,144,Low Eric/Tussock,-153.364462,67.872203,965.459,957.946,GeoXH 2005,8/9/12 0:00,10:35:41am,2.4,1.1, ,0,0.5,40,75,1,60,0,25,0,0,0,0,0,47,69,51,137,143,7,37
73,Tusck48,2577,138,Low Eric/Tussock,-155.529066,67.955763,787.619,780.433,GeoXH 2005,8/4/12 0:00,12:26:35pm,0.6,0.4, ,0,0,0,5,40,40,0,25,0,0,0,0,0,53,72,61,145,157,2,42
74,Tusck53,3178,154,Low Eric/Tussock,-153.218346,67.908096,953.67,946.23,GeoXH 2005,8/8/12 0:00,11:41:34am,0.5,0.4, ,0,0,0.5,75,10,30,0,50,0,0,0,0,0,44,68,50,136,144,6,36
75,Tusck55,1610,138,Low Eric/Tussock,-155.70577,66.892562,481.666,474.29,GeoXH 2005,6/26/12 0:00,11:55:59am,0.6,0.5, ,0,5,5,85,0.5,10,0,1,0,0,0,0,0,75,107,85,175,200,8,57
76,Tusck59,2410,140,Low Eric/Tussock,-150.531254,67.784357,733.504,724.89,GeoXH 2005,7/18/12 0:00,11:08:17am,0.8,0.6, ,0,0.5,1,20,10,70,0,15,0,0,0,0,0,46,67,44,157,156,3,34
77,Tusck73,2787,136,Low Eric/Tussock,-155.390745,67.951109,852.831,845.483,GeoXH 2005,8/3/12 0:00,11:38:13am,0.6,0.5, ,0,0,0,35,35,1,0,1,0,0,0,0,0,62,73,60,107,165,3,38
78,Tussock5,3530,142,Low Eric/Tussock,-153.232171,67.881193,1058.226,1050.767,GeoXH 2005,8/8/12 0:00,04:29:11pm,1.5,1, ,0,0,0.5,15,15,40,0,30,0,0,0,0,0,58,77,66,140,166,5,44