plot,bryophyte,duff,forb,graminoid,lichen,rock,shrub,soil,subshrub,tree,water
04-B3,30,10,40,30,10,0.01,5,0,13,0,2
04-B5,65,2,10,36,10,0,40,2,30,0.01,0
04-D1,25,2,12,10,3,1,50,2,15,10,0
04-D12,10,1,0.01,72,1,0,3,3,53,0,5
04-F2,35,2,47,30,11,0,40,2,22,35,0
04-H2,2,5,40,10,10,25,0,3,33,0,0
04-H3,40,5,57,3,10,0,24,5,23,0,5
04-L2,1,0.01,4,1,30,90,0,0.01,2,0,0
04-W12,30,2,1,55,3,0,22,2,40,0,5
10L,35,4,17,35,13,0,0.01,7,1,0,0
10L-b,25,1,13,11,35,0.01,2,2,14,0,0
10M,11,1,3,70,15,0,0.01,0,1,0,5
10P,2,3,80,1,15,5,1,30,4,0,0
11L,15,15,18,15,25,1,0,10,17,0,5
11L-b,11,2.5,11,60,12.5,0,12,2,35,0,3.5
11M,17,4,25,38,22,0,5,0.01,35,0,1.5
11P,10,1,1,80,4,0,2,0,3,0,0.01
12L,70,0,10,30,30,1,7,5,8,0,5
12M,10,1,5,15,10,1,40,3,30,0,0.01
12P,8,3,8,50,17,0,14,1,35,0,0
12S,1,0,1,3,70,75,10,15,5,0,0
12S-b,0,0,1.5,3.5,40,70,0,4,20,0,0
13L,9.5,3.5,9,50,16,0,16,0.01,17,0,5.5
13L-b,13,1.5,11,45,16,0,25,2,20,0,4.5
13M,20,3,6,53,15,0,2,0,4,0,1
13P,4,5,6,60,2,0,41,3,30,0,3
14M,50,1,2,38,8,0,1,2,1,0,2
14P,7,1,5,65,7,0,8,1,8,0,0
15L,4,2,6,33,30,13,10,1.5,25,0,1
15M,11,2,5,47,15,0,11,0,36,0,0
15P,4.5,3,14,30,37,1,12,2,37,0,0
15S,1,1,1,2,57,70,2,0,11,0,0
15S-b,1,0.01,0.01,2,60,60,1.5,0.01,18,0,0
16M,10,1,0,81,7,0,0.01,0.01,2,0,1
16P,7,1,1,60,7,0,12,0,13,0,0
17M,28,3,3,65,17,0,4,1,16,0,2
17P,5,2,11,25,7,0,35,0,45,0,0
18M,16,0,9.5,40,27,0,2.5,0,35,0,0
18P,6,2.5,9,50,12,0,25,1,25,0,0
19M,27,2.5,6,45,12,0,5,0,40,0,0
19P,7,3,8,42,17,0,27,0.01,55,0,0.01
1L,15,0.01,15,15,45,30,20,1,30,0,1
1M,40,5,10,45,40,0,8,0,17,0,10
1P,20,5,2,30,25,0,15,0,35,0,2
1S,10,1,8,4,40,19,1,3,35,0,6
1S-b,8,2,2,12,27,45,0,1,25,0,0
20P,9,3,25,48,20,0,12,0,37,0,0.01
21M,10,3,11,60,16,0,5,0.01,30,0,1
21P,12,0,15,58,15,0,17,0.01,27,0,0.01
2L,60,5,15,30,10,10,10,1,30,0,3
2M,50,3,3,30,35,0,5,0,20,0,3
2P,8,1,1,60,11,0,10,2,20,0,8.5
2S,0.01,5,2,10,75,60,0,10,15,0,0
2S-b,4,0.5,0,1,68,80,10,0,18,0,0.01
3L,15,1,10,65,25,0,12,1.5,20,0,14
3M,18,1,7,50,25,0,10,0,30,0,4
3P,15,1,25,65,8,0,17,0,48,0,2
3S-b,4,1,2,3,58,57,10,3,15,0,0
3S-c,3,1,1,2,55,75,8,3,4,0,0
4L,10,5,5,15,40,5,12,2,23,0,1
4M,33,5,11,42,10,0,9,0,22,0,1
4P,4,0.5,8,45,21,16,15,1.5,20,0,1
4S,0.01,0.01,0,0,79,91,0,0,5,0,0
5L,28,1.5,30,40,15,2.5,0,1,1,0,0.5
5M,40,3,35,25,8,0,38,1,5,0,1
5P,7,5,9,44,2.5,0,25,1.5,45,0,1
5S,0,1,0.01,0,30,70,0,10,20,0,0
5S-b,1,0,32,9,43,55,0,4,0,0,0
6L,9,2.5,65,7,21,1.5,10,1,29,0,2
6L-b,15,0.5,2,60,14,7,1,2.5,4,0,4.5
6M,19,4,11,44,25,0,10,3.5,15,0,3
6P,6,3,6,48,32,0.01,8,0.01,30,0,0.01
6S,1,0,17,5,15,35,0,50,0,0,0
7L,35,3,0,25,2.5,0,11,2,4,0,21
7M,11,2.5,9,55,11,0,33,1.5,11,0,1
7P,5,3,11,29,47,0,7,0.01,16,0,0.01
7S,2,4.5,0.5,0.01,68,80,7,1,6,0,0
7S-b,2,3.5,1,1,75,53,20,0.01,15,0,0
8L,12,3,12,40,52,3,8,1,11,0,9
8L-b,0,11,45,10,9,3,2,15,2,0,0
8M,12,3,1,45,6,0,45,0,15,0,11
8P,8,2,0.5,68,16,0,28,0,10,0,5
8S,3,5,28,5,45,25,0,40,5,0,0
9L,30,2,20,50,11,0,15,0,25,0,5
9L-b,12,1,12,40,40,0,9,2,8,0,1
9M,14,4,10,60,32,0,8,1,4,0,0
9P,5,4,11,80,12,0,15,0,5,0,12
AADB2,3,1,2,5,5,70,0,3,20,0,0
AADD1,2,15,0.1,0.1,20,60,0,0.1,45,0,0
AADD2,0.1,0.1,0.1,2,2,50,0,5,40,0,0
AADD3,0.1,0.1,0.1,1,0.1,90,0,3,10,0,0
AMDD2,0.1,1,0.1,0.1,3,65,0,0.1,25,0,0
ANDB2,5,2,4,0.1,2,15,0,0.1,75,0,0
ANDD1,5,2,3,1,15,35,0,1,50,0,0
AW4,15,25,0.1,30,0.1,0.1,55,0.1,70,0,0
CBM3R,40,5,1,20,8,0.1,0,3,30,0,1
CF2R,65,35,35,25,0.1,0.1,25,0,50,20,0
CNF2,95,3,0.1,8,15,0,25,0.1,55,35,0.1
CNF5,60,60,0.1,0.1,1,0,20,0,45,20,0
CNFJ1,95,25,1,0.1,1,0,10,0,75,40,0
CNFJ2,75,5,1,0.1,25,0,5,0.1,25,30,0
CT1R,55,2,0.1,25,7,0.1,0,0.1,65,0,0.1
CT2R,70,1,0.1,10,20,0,0,0,30,0,0
DBTT1R,90,5,0.1,85,0.1,0,0,0.1,15,0,0.1
DBTT3R,30,0.1,0.1,60,0.1,0,0,0,30,0,0.1
DSC1,50,25,8,0.1,2,1,0,1,80,0,0
DSC4,80,5,15,36,1,0.1,0,0.1,65,0,0.1
Dune2,35,0.1,0.1,27,25,0.1,0,10,1,0.1,0
Dunes1,35,0.1,0.1,15,3,1,0,60,4,0.1,0
E1S10,75,15,5,25,0.1,0,0,0,85,0,0
E1S100,90,20,4,20,0.1,0,0,0,75,0,0
E1S1000,80,20,0.1,20,2,0,0,0,80,0,0
E1S1000A,75,15,0.1,25,4,0,0,0.1,75,0,0.1
E1S2000,60,10,10,20,4,0,0,1,60,0,0
E1S300,90,0.1,0.1,5,0.1,0,0,0,70,0,0
E1S4000,50,15,1,35,2,0,0,0,60,0,0
E1S50,85,10,1,15,0.1,0,0,0,65,0,0
E2S10,40,25,1,10,0.1,0,0,0,85,0,0
E2S100,90,15,1,10,2,0,0,0,40,0,0
E2S1000,30,20,1,12,3,0,0,0,70,0,0
E2S1000A,65,10,1,13,4,0,0,0,85,0,0
E2S2000,70,5,3,15,2,0,0,0,85,0,0.1
E2S300,85,15,0.1,15,1,0,0,0,80,0,0
E2S4000,50,10,5,35,5,0,0,4,50,0,0
E2S50,90,15,0.1,10,0.1,0,0,0,75,0,0
E3N10,60,20,1,12,0.1,0,0,1,75,0,0
E3N100,75,5,5,20,0.1,0,0,2,30,0,0
E3N1000,70,10,4,25,10,0,0,0.1,50,0,0
E3N1000A,75,15,2,67,20,0,0,0.1,70,0,0
E3N300,80,20,0.1,10,0.1,0,0,0,35,0,0
E3N50,80,20,0.1,45,0.1,0,0,0.1,55,0,0.1
E4N100,60,25,2,10,0.1,0,0,0,50,0,0
E4N1000,95,2,1,15,2,0,0,0.1,30,0,0
E4N2000,90,20,15,20,1,0,0,0,75,0,0
E4N300,45,10,3,30,3,0,0,0.1,25,0,0
E4N4000,80,5,3,12,2,0,0,0,70,0,0
E4N4000A,25,20,4,10,25,0,0,0.1,45,0,0
E4N50,50,15,1,16,0.1,0,0,0,70,0,0.1
E5N100,90,25,4,15,0.1,0,0,0,85,0,0
E5N1000,70,5,0,10,0.1,0,0,0,75,0,0
E5N1000A,30,5,0,15,0.1,0,0,0,65,0,0.1
E5N2000,70,15,10,20,2,0,0,0,75,0,1
E5N300,70,5,0.1,15,2,0,0,0,80,0,0
E5N4000,80,5,0.1,25,1,0,0,0,70,0,0.1
E5N50,80,15,5,25,1,0,0,0,75,0,0.1
E6S10,80,15,0.1,30,0.1,0,0,0,70,0,1
E6S100,80,0.1,0.1,15,0.1,0,0,0,70,0,0
E6S1000,50,0,0.1,25,3,0,0,0,60,0,0.1
E6S2000,55,10,15,15,2,0,0,0,85,0,0
E6S2000A,20,20,10,15,0.1,0,0,0,85,0,0
E6S300,80,0.1,0.1,15,1,0,0,0,75,0,0.1
E6S4000,65,15,5,30,1,0,0,2,65,0,0
E6S50,60,0,0.1,35,0.1,0,0,0,50,0,0.1
EKOTZ10,70,10,4,10,35,0,0,0,80,0,0
EKOTZ100,60,0,5,20,35,0,0,0,85,0,0
EKOTZ50,50,5,1,10,5,0,0,0.1,90,0,0
EREF1-2,75,15,3,40,25,0,0,0,65,0,0
EREF2-1,60,15,5,80,10,0,5,0,60,0,0.1
EREF2-2,75,15,4,31,2,0,3,0,75,0,0
EREF2-3,90,15,5,50,4,0,0,0,80,0,0
G2R,25,4,0.1,50,1,0,0,0,25,0,30
G3R,15,3,0.1,85,0.1,0,0,0,15,0,15
J1,4,0.1,1,8,30,50,0,0,20,0,0
JAW1,10,70,11,60,0.1,0.1,25,0,60,0,0
JDSA1,20,25,15,20,1,5,0,0.1,70,0,0
JDSC1,5,30,3,3,0.1,20,0.1,0.1,80,0.1,0
JDSC2,15,10,20,1,5,10,0,0.1,85,0,0
JLBA,8,1,2,4,30,20,2,0,50,0,0
JLBEA1,15,10,5,4,20,15,0,0.1,75,0.1,0
JLichen1,1,25,0.1,0.1,75,5,40,0.1,25,5,0
JLichen2,5,15,0.1,0.1,75,5,10,0.1,20,10,0
JMixed1,40,75,0.1,0.1,10,0.1,15,0,65,40,0
Jpalisad,0.1,0.1,1,3,2,80,0,0.1,25,0,0
JSVC1,2,1,7,12,5,40,0,2,40,0,0
JTLC1,0.1,0.1,0.1,0.1,0.1,90,0,0.1,10,0,0
LBEA1,8,0.1,25,0.1,8,20,0,0.1,55,0,0
LBEA2,10,5,0.1,1,25,8,0,0,80,0,0
LW1R,70,20,1,10,10,0.1,45,0.1,15,0,0.1
LW2R,70,1,0.1,8,2,0,25,0,65,0,0
LW3R,15,8,5,25,1,0.1,55,1,5,0,0
NE-2a,35,5,5,3,18,10,40,15,35,0,0
NE-2b,60,30,2,50,10,0.1,50,2,15,0,10
NE-2c,70,45,30,60,0.1,0,3,2,10,0,0
NE-3a,55,10,5,15,35,0.1,18,4,60,0,0
NE-3b,35,25,0.1,75,1.5,0.1,0.1,3,40,0,0
NE-3c,45,30,2,65,3,0,0,3,35,0,0
NE-4a,50,30,0.1,45,1,0,1,8,55,0,0
NE-4b,30,40,10,90,1,0,0,0.1,20,0,3
NE-4c,50,35,0.1,70,1,0,0,0.1,48,0,0
NE-5a,0.1,0.1,3,2,0.1,85,0,10,0.1,0,0
NE-5b,35,20,25,3,10,50,0,10,47,0,0
NE-5c,15,15,10,8,18,50,2,2,60,0,0
NE-6a,30,30,0,70,2,0,0.1,5,35,0,0
NE-6b,50,45,0,70,4,0,0,1,60,0,0.1
NE-6c,35,20,50,45,10,2,0.1,5,35,0,0.1
NW-1a,50,25,12,25,3,0,36,2,30,0,3
NW-1b,50,50,15,30,5,0,45,0.1,60,40,0
NW-1c,75,10,15,8,5,0,38,2,50,32,0
NW-1d,65,15,0.1,20,5,0,85,3,60,27,0
NW-1e,75,35,45,5,0.1,0,30,0.1,40,45,0
NW-2a,80,15,1,35,1,0,30,0.1,25,0,1
NW-2b,70,25,0.1,60,0.1,0,7,0.1,50,0,0
NW-3a,70,45,0.1,75,3,0,0.1,1,55,0,0
NW-3b,60,40,15,70,5,0,6,0.1,50,0,0
NW-3c,65,40,0,82,1,0,0,2.5,45,0,1
NW-5a,3,0.1,4,0.1,5,75,0,5,10,0,0
NW-6a,5,50,35,60,3,0,0,10,25,0,0
NW-6b,40,0,0.1,55,4,0,0,1,45,0,0
ONF5,40,20,2,2,0.1,0.1,35,0.1,50,25,0
Q1-L2,2,1,15,2,40,1,25,2,20,0,0
Q3-A5,20,1,20,5,5,40,30,0.01,20,0,7
Q3-D2,5,1,35,5,25,0,25,0.01,15,0,0
Q3-H3,5,1,45,2,15,15,0,2,30,0,0
Q3-L2,5,3,40,0.01,15,10,5,3,10,0,0
Q3-L5,0.01,0,2,0.01,0.01,98,0.01,0.01,0.01,0,0
RBW3R,90,0,5,5,0.1,0,40,0.1,85,0,0.1
SDM1R,65,2,1,45,1,0.1,0,0.1,12,0,0.1
SDM3R,45,2,2,25,1,1,0,0.1,55,0,0.1
SE-2a,70,40,3,45,1.5,1,0,2,60,0,0
SE-2b,35,25,50,30,3,0,35,2,45,0,0.1
SE-2c,65,35,2,70,0.1,0,0.1,0.1,55,0,0
SE-3a,70,25,0.1,50,1,0,30,1,50,0,0.1
SE-3b,72,35,1,60,0.1,0,0,2,50,0,0
SE-3c,70,25,4,65,8,0,0,1,60,0,0
SE-4a,80,20,25,20,30,10,0,10,65,0,0
SE-4b,8,4,10,40,7,3,0,10,50,0,0
SE-4c,40,20,0.1,60,2,0,40,1,50,0,0
SE-5a,55,2,5,20,8,45,0.1,20,50,0,0
SE-5b,40,5,10,5,25,30,0.1,10,40,0,0
SE-5c,1,0.1,2,3,15,80,0,1,30,0,0
SE-5d,0.1,0.1,1,0.1,10,90,0,2,25,0,0
SE-6a,25,30,50,20,2,0,15,5,20,0,0
SE-6b,15,35,10,35,25,0.1,3,10,45,0,0
SE-6c,25,35,45,20,1,0,18,10,30,0,0.1
SE-6d,60,25,1,60,2,0,20,0.1,30,0,0
SE-7a,1,0.1,0.1,0.1,2,85,0,20,25,0,0
SV1,6,2,15,20,3,15,2,3,45,0,0.1
SV2,4,0,0.1,0,5,88,0,10,0,0,0
SVA1,4,0.1,0.1,0.1,30,95,0,0.1,5,0,0
SVA3,1,0.1,0.1,1,35,90,0,0.1,2,0,0
SVA4,0.1,0.1,0.1,10,15,62,0,2,10,0,0
SVC1,0.1,0.1,0.1,0,0.1,90,0,0.1,10,0,0
SVC2,0.1,0.1,1,5,1,83,0.1,2,20,0,0
SVC4,3,0.1,0.1,0.1,0.1,90,0,0.1,10,0,0
SW-1a,70,50,3,60,1,0,25,0.1,50,0,3
SW-1b,70,40,55,15,2,0,30,0.1,45,40,0
SW-1c,55,45,20,50,3,0,40,1,60,35,0
SW-1d,65,40,0.1,60,0.1,0,26,2,45,0,0.1
SW-2a,10,45,40,35,3,0,85,0.1,50,3,0
SW-3a,30,40,5,70,1,0,3,0.1,35,0,0.1
SW-4a,70,4,15,5,20,0.1,1.5,5,85,0,0
SW-4b,45,40,2,60,2,0,0,0.1,45,0.1,0
SW-5a,2,0.1,1,1,8,65,0,10,20,0,0
SW-5b,4,1,1,1,3,75,3,3,10,0,0
SW-5c,1.5,0.1,2,0.1,1,75,0,5,15,0,0
SW-5d,10,0.1,20,3,5,60,0,2,1,0,0
SW-6a,2,5,10,25,5,45,0,4,40,0,0
SW-6b,15,40,20,50,1.5,0.1,5,2,45,0,5
SW-6c,2,10,45,25,2.5,1,0.1,25,8,0,0
SW-6d,1.5,25,2,50,0.1,2,0.1,30,25,0,0
SW-6e,25,50,5,90,0.1,0,0,5,30,0,1.75
SW-7a,3,0.1,35,1,2,60,0,0.1,2,0,0
T1N10,10,50,0.1,15,0.1,0,0,4,85,0,0.1
T1N100,45,5,1,20,0.1,0,0,0,70,0,2
T1N1000,80,10,5,75,1,0,0,0,60,0,5
T1N1000A,40,20,0.1,70,1,0,0,0,40,0,1
T1N2000,45,10,2,50,2,0,0,0,50,0,0
T1N300,20,15,1,60,20,0,0,0,40,0,0
T1N4000,40,3,0.1,55,3,0,0,0,30,0,0
T1N50,50,25,0.1,60,0.1,0,0,0.1,35,0,0.1
T2N10,60,3,1,50,0.1,0,5,0.1,70,0,1
T2N100,50,5,5,60,0.1,0,0,1,35,0,0.1
T2N1000,40,10,4,55,2,0,0,1,35,0,0
T2N2000,50,5,2,65,1,0,0,0,45,0,0.1
T2N300,40,10,3,5,0.1,0,0,0,4,0,0
T2N4000,40,20,5,50,0.1,0,0,10,40,0,1
T2N4000A,60,15,3,50,0.1,0,0,0,40,0,0
T2N50,75,10,0.1,40,0.1,0,0,1,55,0,0
T3S10,20,1,0.1,85,0.1,0,0,0,10,0,1
T3S100,60,20,0.1,70,3,0,0,0,40,0,0.1
T3S1000,60,0.1,0.1,50,0.1,0,0,0.1,30,0,0.1
T3S1000A,50,0.1,0.1,50,1,0,0,0.1,30,0,0.1
T3S2000,60,4,0.1,50,1,0,0,0.1,40,0,3
T3S300,85,5,0.1,80,2,0,0,0.1,20,0,0.1
T3S4000,20,5,1,75,7,0,0,0,25,0,2
T3S50,35,5,0.1,75,1,0,0,0,30,0,0.1
T4S100,75,15,0.1,85,0.1,0,0,0,25,0,2
T4S1000,30,15,1,80,15,0,0,0,30,0,0.1
T4S1000A,40,15,0.1,65,25,0,0,0,45,0,0
T4S2000,50,5,0.1,50,1,0,0,1,45,0,0.1
T4S300,90,15,1,45,1,0,0,0,65,0,0.1
T4S4000,25,5,0.1,45,2,0,0,0,45,0,0
T4S50,50,10,0.1,90,0.1,0,0,0,45,0,0
T5N100,50,15,1,58,0.1,0,0,0,40,0,0.1
T5N1000,70,10,0.1,85,3,0,0,0,55,0,0
T5N1000A,55,10,0.1,65,3,0,0,0,35,0,0.1
T5N2000,50,10,1,60,2,0,0,0,35,0,1
T5N300,50,5,0.1,80,1,0,0,0.1,25,0,1
T5N4000,40,5,0.1,70,2,0,0,0,25,0,3
T5N50,50,10,1,50,0.1,0,0,2,70,0,2
T5ULW,60,5,0.1,25,0.1,0,65,0,10,0,0
T6S10,50,0,0.1,25,0.1,0,0,0,50,0,0
T6S100,80,0.1,1,20,1,0,0,0,60,0,2
T6S1000,75,2,1,25,2,0,1,0,50,0,0.5
T6S2000,20,10,0.1,15,0.1,0,0,0,40,0,0
T6S300,80,0,0.1,25,0.1,0,0,0,50,0,0
T6S4000,35,5,0.1,37,0.1,0,0,0,75,0,0.1
T6S4000A,25,5,2,50,0.1,0,0,0,40,0,1
T6S50,70,0,1,20,2,0,0,0,65,0,0
TLA2,10,1,5,1,35,70,0,0.1,25,0,0
TLA4,25,1,0.1,1,50,80,0,0,15,0,0
TLC1,5,0.1,1,1,2,80,0,0,15,0,0
TLC3,20,3,3,0.1,15,65,0,0,30,0,0
TREF1-1,25,5,1,75,1,0,0,0,35,0,0
TREF1-2,65,15,1,55,2,0,0,0,60,0,4
TREF1-3,30,15,0.1,70,1,0,0,0,20,0,5
TREF2-1,80,5,0.1,65,5,0,0,0,75,0,1
TREF2-2,80,5,4,50,5,0,0,0,70,0,0
TREF2-3,65,10,0.1,35,4,0,0,0,75,0,0
TT2,20,15,1,25,8,0.1,25,0,40,0,0
TT3,15,10,2,40,2,0,0,0.1,20,0.1,0.1
TT4,60,3,0.1,60,0.1,0,0,0,10,0,0.1
ULW2R,80,20,0.1,25,0.1,0,0,0.1,70,0,0.1
