plot,grazing,tree,forb,graminoid,bryophyte,lichen,soil,duff,rock,water
Q3-L5,0,0,2,0.01,0.01,0.01,0.01,0,98,0
NE-5b,0,0,25,3,35,10,10,20,50,0
Q1-L2,0,0,15,2,2,40,2,1,1,0
Q3-A5,0,0,20,5,20,5,0.01,1,40,7
Q3-D2,0,0,35,5,5,25,0.01,1,0,0
Q3-L2,0,0,40,0.01,5,15,3,3,10,0
Q3-H3,0,0,45,2,5,15,2,1,15,0
NW-5a,0,0,4,0.1,3,5,5,0.1,75,0
04-H3,0,0,57,3,40,10,5,5,0,5
NE-3a,0,0,5,15,55,35,4,10,0.1,0
NW-1a,0,0,12,25,50,3,2,25,0,3
SV2,0,0,0.1,0,4,5,10,0,88,0
NW-2a,0,0,1,35,80,1,0.1,15,0,1
04-H2,0,0,40,10,2,10,3,5,25,0
04-L2,0,0,4,1,1,30,0.01,0.01,90,0
NE-5c,0,0,10,8,15,18,2,15,50,0
Dwarf18,0,0,0.5,0.5,5,5,0,5,45,0
NW-6a,0,0,35,60,5,3,10,50,0,0
Acid155,0,0,0,0,0.5,0.5,0,0,99,0
Acid91,0,0,0,0.5,3,0.5,3,0.5,85,0
Dwarf107,0,0,0,0.5,0.5,0.5,30,1,25,0
Dwarf29,0,0,0.5,40,25,1,1,0.5,20,0.5
NE-4b,0,0,10,90,30,1,0.1,40,0,3
NW-1b,0,40,15,30,50,5,0.1,50,0,0
NW-1d,0,27,0.1,20,65,5,3,15,0,0
NW-1e,0,45,45,5,75,0.1,0.1,35,0,0
NE-4a,0,0,0.1,45,50,1,8,30,0,0
NW-3c,0,0,0,82,65,1,2.5,40,0,1
04-D1,0,10,12,10,25,3,2,2,1,0
NE-3b,0,0,0.1,75,35,1.5,3,25,0.1,0
NE-4c,0,0,0.1,70,50,1,0.1,35,0,0
NW-2b,0,0,0.1,60,70,0.1,0.1,25,0,0
NW-3b,0,0,15,70,60,5,0.1,40,0,0
NW-6b,0,0,0.1,55,40,4,1,0,0,0
NE-6b,0,0,0,70,50,4,1,45,0,0.1
NW-1c,0,32,15,8,75,5,2,10,0,0
NW-3a,0,0,0.1,75,70,3,1,45,0,0
Dwarf14,0,0,5,1,5,3,0.5,0.5,25,0
Lowrc149,0,0,0.5,40,30,0.5,1,3,0,0
NE-5a,0,0,3,2,0.1,0.1,10,0.1,85,0
NE-6a,0,0,0,70,30,2,5,30,0,0
SE-4a,0,0,25,20,80,30,10,20,10,0
SW-1a,0,0,3,60,70,1,0.1,50,0,3
SW-1d,0,0,0.1,60,65,0.1,2,40,0,0.1
Acid18,0,0,1,0.5,35,10,0,0.5,45,0
Acid191,0,0,1,0.5,0.5,0.5,0,0,99,0
Acid70,0,0,0.5,0.5,0.5,3,0.5,0.5,95,0
Dwarf17,0,0,3,0.5,10,5,0.5,3,10,0
Dwarf20,0,0,3,1,1,10,0,5,3,0
Loweric6,0,0,5,1,55,5,0,1,0,0
SE-2c,0,0,2,70,65,0.1,0.1,35,0,0
SE-3b,0,0,1,60,72,0.1,2,35,0,0
E3N10,95,0,1,12,60,0.1,1,20,0,0
E3N50,95,0,0.1,45,80,0.1,0.1,20,0,0.1
E3N100,95,0,5,20,75,0.1,2,5,0,0
E4N50,95,0,1,16,50,0.1,0,15,0,0.1
T2N10,95,0,1,50,60,0.1,0.1,3,0,1
T2N50,95,0,0.1,40,75,0.1,1,10,0,0
T2N100,95,0,5,60,50,0.1,1,5,0,0.1
T2N300,95,0,3,5,40,0.1,0,10,0,0
T2N1000,95,0,4,55,40,2,1,10,0,0
T2N2000,95,0,2,65,50,1,0,5,0,0.1
T2N4000,95,0,5,50,40,0.1,10,20,0,1
T2N4000A,95,0,3,50,60,0.1,0,15,0,0
T4S50,95,0,0.1,90,50,0.1,0,10,0,0
T4S100,95,0,0.1,85,75,0.1,0,15,0,2
T4S300,95,0,1,45,90,1,0,15,0,0.1
T4S1000,95,0,1,80,30,15,0,15,0,0.1
T4S1000A,95,0,0.1,65,40,25,0,15,0,0
T4S2000,95,0,0.1,50,50,1,1,5,0,0.1
T4S4000,95,0,0.1,45,25,2,0,5,0,0
ANDD1,95,0,3,1,5,15,1,2,35,0
04-B5,0,0.01,10,36,65,10,2,2,0,0
04-D12,0,0,0.01,72,10,1,3,1,0,5
NE-2a,95,0,5,3,35,18,15,5,10,0
NE-2b,95,0,2,50,60,10,2,30,0.1,10
NE-3c,0,0,2,65,45,3,3,30,0,0
NE-6c,0,0,50,45,35,10,5,20,2,0.1
SE-6a,0,0,50,20,25,2,5,30,0,0
SE-6c,0,0,45,20,25,1,10,35,0,0.1
Basic10,95,0,0.5,0.5,0.5,20,0,0.5,95,0
Basic11,95,0,0,0,0.5,30,0,0,99,0
Dwarf68,95,0,0.5,10,15,1,0.5,1,10,0.5
Dwarf88,95,0,0.5,20,3,1,0.5,1,1,0
E3N300,95,0,0.1,10,80,0.1,0,20,0,0
E3N1000,95,0,4,25,70,10,0.1,10,0,0
E3N1000A,95,0,2,67,75,20,0.1,15,0,0
E4N1000,95,0,1,15,95,2,0.1,2,0,0
E4N2000,95,0,15,20,90,1,0,20,0,0
E4N4000,95,0,3,12,80,2,0,5,0,0
E4N4000A,95,0,4,10,25,25,0.1,20,0,0
E6S10,95,0,0.1,30,80,0.1,0,15,0,1
E6S50,95,0,0.1,35,60,0.1,0,0,0,0.1
E6S100,95,0,0.1,15,80,0.1,0,0.1,0,0
E6S300,95,0,0.1,15,80,1,0,0.1,0,0.1
E6S1000,95,0,0.1,25,50,3,0,0,0,0.1
E6S2000,95,0,15,15,55,2,0,10,0,0
E6S2000A,95,0,10,15,20,0.1,0,20,0,0
E6S4000,95,0,5,30,65,1,2,15,0,0
T3S10,95,0,0.1,85,20,0.1,0,1,0,1
T3S50,95,0,0.1,75,35,1,0,5,0,0.1
T3S100,95,0,0.1,70,60,3,0,20,0,0.1
T3S300,95,0,0.1,80,85,2,0.1,5,0,0.1
T3S1000,95,0,0.1,50,60,0.1,0.1,0.1,0,0.1
T3S1000A,95,0,0.1,50,50,1,0.1,0.1,0,0.1
T5N50,95,0,1,50,50,0.1,2,10,0,2
T5N100,95,0,1,58,50,0.1,0,15,0,0.1
T5N300,95,0,0.1,80,50,1,0.1,5,0,1
T5N1000,95,0,0.1,85,70,3,0,10,0,0
T5N1000A,95,0,0.1,65,55,3,0,10,0,0.1
T5N2000,95,0,1,60,50,2,0,10,0,1
T5N4000,95,0,0.1,70,40,2,0,5,0,3
DBTT1R,95,0,0.1,85,90,0.1,0.1,5,0,0.1
DBTT3R,95,0,0.1,60,30,0.1,0,0.1,0,0.1
RBW3R,95,0,5,5,90,0.1,0.1,0,0,0.1
SE-3c,0,0,4,65,70,8,1,25,0,0
SE-6b,0,0,10,35,15,25,10,35,0.1,0
SW-6a,0,0,10,25,2,5,4,5,45,0
Acid174,95,0,0.5,0.5,5,3,0.5,0,85,0
Basic17,95,0,0.5,0.5,0.5,30,0,0,99,0
Dwarf83,95,0,0.5,40,20,1,1,0.5,3,0.5
Lowerc88,95,0,30,25,10,1,0.5,5,1,3
Tusck14,95,0,0.5,80,10,0.5,0.5,0.5,0,0.5
Tusck27,95,0,1,20,3,1,0.5,0.5,0.5,0
Tusck48,95,0,0.5,40,25,1,0.5,0.5,0.5,0
Tusck73,95,0,1,1,1,15,5,0.5,10,0
E4N100,95,0,2,10,60,0.1,0,25,0,0
E4N300,95,0,3,30,45,3,0.1,10,0,0
E5N4000,95,0,0.1,25,80,1,0,5,0,0.1
T1N4000,95,0,0.1,55,40,3,0,3,0,0
T3S2000,95,0,0.1,50,60,1,0.1,4,0,3
SE-2a,95,0,3,45,70,1.5,2,40,1,0
SW-5d,0,0,20,3,10,5,2,0.1,60,0
SW-7a,0,0,35,1,3,2,0.1,0.1,60,0
DSC4,95,0,15,36,80,1,0.1,5,0.1,0.1
E2S10,95,0,1,10,40,0.1,0,25,0,0
E2S50,95,0,0.1,10,90,0.1,0,15,0,0
E2S100,95,0,1,10,90,2,0,15,0,0
E5N50,95,0,5,25,80,1,0,15,0,0.1
E5N100,95,0,4,15,90,0.1,0,25,0,0
E5N300,95,0,0.1,15,70,2,0,5,0,0
E5N1000,95,0,0,10,70,0.1,0,5,0,0
E5N1000A,95,0,0,15,30,0.1,0,5,0,0.1
T3S4000,95,0,1,75,20,7,0,5,0,2
LW3R,95,0,5,25,15,1,1,8,0.1,0
E1S10,95,0,5,25,75,0.1,0,15,0,0
E1S50,95,0,1,15,85,0.1,0,10,0,0
E1S100,95,0,4,20,90,0.1,0,20,0,0
E1S300,95,0,0.1,5,90,0.1,0,0.1,0,0
E1S1000,95,0,0.1,20,80,2,0,20,0,0
E1S1000A,95,0,0.1,25,75,4,0.1,15,0,0.1
E1S2000,95,0,10,20,60,4,1,10,0,0
E1S4000,95,0,1,35,50,2,0,15,0,0
E2S300,95,0,0.1,15,85,1,0,15,0,0
E2S1000,95,0,1,12,30,3,0,20,0,0
E2S1000A,95,0,1,13,65,4,0,10,0,0
E2S2000,95,0,3,15,70,2,0,5,0,0.1
E2S4000,95,0,5,35,50,5,4,10,0,0
E5N2000,95,0,10,20,70,2,0,15,0,1
T1N10,95,0,0.1,15,10,0.1,4,50,0,0.1
T1N50,95,0,0.1,60,50,0.1,0.1,25,0,0.1
T1N100,95,0,1,20,45,0.1,0,5,0,2
T1N300,95,0,1,60,20,20,0,15,0,0
T1N1000,95,0,5,75,80,1,0,10,0,5
T1N1000A,95,0,0.1,70,40,1,0,20,0,1
T1N2000,95,0,2,50,45,2,0,10,0,0
T6S10,95,0,0.1,25,50,0.1,0,0,0,0
T6S50,95,0,1,20,70,2,0,0,0,0
T6S100,95,0,1,20,80,1,0,0.1,0,2
T6S300,95,0,0.1,25,80,0.1,0,0,0,0
T6S1000,95,0,1,25,75,2,0,2,0,0.5
T6S2000,95,0,0.1,15,20,0.1,0,10,0,0
T6S4000,95,0,0.1,37,35,0.1,0,5,0,0.1
T6S4000A,95,0,2,50,25,0.1,0,5,0,1
AADD1,95,0,0.1,0.1,2,20,0.1,15,60,0
LW1R,95,0,1,10,70,10,0.1,20,0.1,0.1
NE-2c,0,0,30,60,70,0.1,2,45,0,0
SE-4c,0,0,0.1,60,40,2,1,20,0,0
SW-5b,0,0,1,1,4,3,3,1,75,0
SW-6b,0,0,20,50,15,1.5,2,40,0.1,5
SW-6d,0,0,2,50,1.5,0.1,30,25,2,0
DSC1,95,0,8,0.1,50,2,1,25,1,0
Dwarf19,0,0,1,5,15,1,0.5,5,0.5,0.5
Dwarf39,0,0,3,10,50,0.5,0.5,5,0.5,0.5
Lowrc34,0,0,0.5,30,20,0.5,0.5,5,0.5,0.5
Lowrc39,0,0.25,0.25,60,5,3,0,0.25,0,0
Lowrc48,0,1,0.25,65,1,3,0,0.25,0,0
Tusck44,0,0,0.5,60,25,0.5,1,0.5,0,0.5
Tusck53,0,0,0.5,30,50,0.5,0.5,0.5,0.5,0.5
Tussock5,0,0,55,40,30,0.5,1,1,0,0.5
SE-6d,0,0,1,60,60,2,0.1,25,0,0
SW-4a,0,0,15,5,70,20,5,4,0.1,0
Tusck10,0,0,1,50,20,1,0.5,3,0.5,0.5
AMDD2,95,0,0.1,0.1,0.1,3,0.1,1,65,0
ANDB2,95,0,4,0.1,5,2,0.1,2,15,0
SDM3R,95,0,2,25,45,1,0.1,2,1,0.1
ULW2R,95,0,0.1,25,80,0.1,0.1,20,0,0.1
04-W12,95,0,1,55,30,3,2,2,0,5
SE-4b,0,0,10,40,8,7,10,4,3,0
SE-5a,95,0,5,20,55,8,20,2,45,0
SE-5d,0,0,1,0.1,0.1,10,2,0.1,90,0
SE-7a,95,0,0.1,0.1,1,2,20,0.1,85,0
SVA1,95,0,0.1,0.1,4,30,0.1,0.1,95,0
SVC1,95,0,0.1,0,0.1,0.1,0.1,0.1,90,0
SVC4,95,0,0.1,0.1,3,0.1,0.1,0.1,90,0
TLC3,95,0,3,0.1,20,15,0,3,65,0
Dwarf123,0,0,0.5,10,1,10,0.5,1,0.5,0
Mafic11,0,0,0.5,0,0.5,0.5,1,0,80,0
Mafic2,95,0,0.5,0,0.5,0.5,0,0,99,0
Mafic31,0,0,25,0.5,0.5,0.5,1,0.5,50,0
Mafic7,95,0,0.25,0,0.25,0.25,0,0,99,0
Needle65,95,25,20,1,60,10,0,0.5,0,0
Tusck59,0,0,0.5,70,15,3,0.5,0.5,0,0.5
SE-5b,0,0,10,5,40,25,10,5,30,0
Acid187,95,0,0.5,0,0.5,0.5,1,0.5,85,0
SE-2b,0,0,50,30,35,3,2,25,0,0.1
SE-5c,0,0,2,3,1,15,1,0.1,80,0
SW-4b,0,0.1,2,60,45,2,0.1,40,0,0
SW-5c,0,0,2,0.1,1.5,1,5,0.1,75,0
SW-6c,95,0,45,25,2,2.5,25,10,1,0
SV1,0,0,15,20,6,3,3,2,15,0.1
JDSC2,95,0,20,1,15,5,0.1,10,10,0
LBEA2,95,0,0.1,1,10,25,0,5,8,0
G2R,95,0,0.1,50,25,1,0,4,0,30
SW-3a,95,0,5,70,30,1,0.1,40,0,0.1
SW-5a,0,0,1,1,2,8,10,0.1,65,0
SVC2,95,0,1,5,0.1,1,2,0.1,83,0
TLC1,95,0,1,1,5,2,0,0.1,80,0
SE-3a,0,0,0.1,50,70,1,1,25,0,0.1
G3R,95,0,0.1,85,15,0.1,0,3,0,15
TLA2,95,0,5,1,10,35,0.1,1,70,0
LW2R,95,0,0.1,8,70,2,0,1,0,0
04-B3,0,0,40,30,30,10,0,10,0.01,2
JDSA1,95,0,15,20,20,1,0.1,25,5,0
JDSC1,0,0.1,3,3,5,0.1,0.1,30,20,0
JLichen1,95,5,0.1,0.1,1,75,0.1,25,5,0
JTLC1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,90,0
TLA4,95,0,0.1,1,25,50,0,1,80,0
EREF1-2,95,0,3,40,75,25,0,15,0,0
JSVC1,95,0,7,12,2,5,2,1,40,0
T5ULW,95,0,0.1,25,60,0.1,0,5,0,0
SW-6e,95,0,5,90,25,0.1,5,50,0,1.75
J1,0,0,1,8,4,30,0,0.1,50,0
SVA3,0,0,0.1,1,1,35,0.1,0.1,90,0
SVA4,0,0,0.1,10,0.1,15,2,0.1,62,0
AADB2,95,0,2,5,3,5,3,1,70,0
LBEA1,0,0,25,0.1,8,8,0.1,0.1,20,0
TREF1-1,95,0,1,75,25,1,0,5,0,0
TREF1-2,95,0,1,55,65,2,0,15,0,4
TREF1-3,95,0,0.1,70,30,1,0,15,0,5
AADD2,95,0,0.1,2,0.1,2,5,0.1,50,0
Jpalisad,95,0,1,3,0.1,2,0.1,0.1,80,0
SW-1b,95,40,55,15,70,2,0.1,40,0,0
SW-1c,95,35,20,50,55,3,1,45,0,0
AW4,0,0,0.1,30,15,0.1,0.1,25,0.1,0
CNF5,0,20,0.1,0.1,60,1,0,60,0,0
JAW1,95,0,11,60,10,0.1,0,70,0.1,0
JLBA,0,0,2,4,8,30,0,1,20,0
JLichen2,95,10,0.1,0.1,5,75,0.1,15,5,0
TT2,0,0,1,25,20,8,0,15,0.1,0
CT1R,95,0,0.1,25,55,7,0.1,2,0.1,0.1
TREF2-1,95,0,0.1,65,80,5,0,5,0,1
TREF2-3,95,0,0.1,35,65,4,0,10,0,0
AADD3,95,0,0.1,1,0.1,0.1,3,0.1,90,0
CBM3R,95,0,1,20,40,8,3,5,0.1,1
SDM1R,95,0,1,45,65,1,0.1,2,0.1,0.1
04-F2,95,35,47,30,35,11,2,2,0,0
ONF5,95,25,2,2,40,0.1,0.1,20,0.1,0
Alder5,0,1,3,0.5,1,0.5,0,10,10,0
Lowrc45,0,0,0.5,40,25,0.5,0.5,1,0,0.5
TREF2-2,95,0,4,50,80,5,0,5,0,0
EREF2-1,95,0,5,80,60,10,0,15,0,0.1
EREF2-2,95,0,4,31,75,2,0,15,0,0
EREF2-3,95,0,5,50,90,4,0,15,0,0
CF2R,95,20,35,25,65,0.1,0,35,0.1,0
CT2R,95,0,0.1,10,70,20,0,1,0,0
CNF2,0,35,0.1,8,95,15,0.1,3,0,0.1
JLBEA1,95,0.1,5,4,15,20,0.1,10,15,0
JMixed1,0,40,0.1,0.1,40,10,0,75,0.1,0
TT4,0,0,0.1,60,60,0.1,0,3,0,0.1
Basic18,0,0,0,0.5,0.5,0.5,5,0.5,70,0.5
Basic23,0,0.25,0.25,0.25,0.25,0.5,0,0,95,0
Basic3,0,0.25,0.5,0.5,0.5,10,0,0.5,40,0
Basic32,0,0.5,3,10,0,25,0,1,30,0
Decid4,0,40,20,10.5,70,1,0.5,3,0.5,0.5
Dwarf101,0,0,1,0.5,3,0.5,5,0.5,20,0
Dwarf2,0,0.25,0.5,5,0.5,40,0,0.5,35,0
Needle36,0,35,3,10,0.5,1,0,0.25,0.25,0
Needle6,0,35,5,3,1,3,0,0,0.25,0
TT3,95,0.1,2,40,15,2,0.1,10,0,0.1
Basic34,0,0.5,1,0.5,1,1,5,0.5,30,0
Basic6,0,0,1,0.5,0.5,3,35,0.5,15,0
SW-2a,0,3,40,35,10,3,0.1,45,0,0
Alder59,0,0.25,20,10,0.5,0.5,0,1,0,0
Needle4,0,45,5,0.5,20,0.5,0,3,0,0
Acid123,0,0,1,0.5,10,10,0,0.5,50,0
Alder1,0,0.5,99,0.5,3,0.5,0.5,0.5,0,0
Needle60,0,25,1,0.5,75,30,0,0.25,0.25,0
Needle7,0,35,5,0.5,1,15,0,0.5,0.5,1
Alder28,0,15,1,0.25,1,0.25,0,0.25,0,0.25
Needle84,0,10,55,5,40,0.5,1,0.5,0.5,0
EKOTZ10,0,0,4,10,70,35,0,10,0,0
EKOTZ50,0,0,1,10,50,5,0.1,5,0,0
EKOTZ100,0,0,5,20,60,35,0,0,0,0
CNFJ1,95,40,1,0.1,95,1,0,25,0,0
CNFJ2,95,30,1,0.1,75,25,0.1,5,0,0
Dune2,95,0.1,0.1,27,35,25,10,0.1,0.1,0
Dunes1,95,0.1,0.1,15,35,3,60,0.1,1,0
Mafic19,95,0.5,0.5,0.25,0.25,0.25,0,0.25,85,0
Needl101,95,45,3,3,10,1,0,0.5,0.5,0
Needl200,95,55,1,5,30,10,0.5,0.5,0,0
Mafic10,95,0.5,0.5,0.5,0.5,0.5,0,0.5,65,0
Mafic8,95,0,0.5,0.25,60,0.5,0,0.25,90,0
Decid11,95,45,3,3,0.5,0.5,0,1,1,0
Lowrc43,95,15,1,65,55,3,0,0,0,0.5
Lowrc60,95,0,3,20,30,3,1,0.5,0.5,0
Needle21,95,30,0.5,0.5,60,0.5,0,0.25,0,0
21M,95,0,11,60,10,16,0.01,3,0,1
21P,95,0,15,58,12,15,0.01,0,0,0.01
18P,95,0,9,50,6,12,1,2.5,0,0
20P,95,0,25,48,9,20,0,3,0,0.01
17M,95,0,3,65,28,17,1,3,0,2
17P,95,0,11,25,5,7,0,2,0,0
18M,95,0,9.5,40,16,27,0,0,0,0
19P,95,0,8,42,7,17,0.01,3,0,0.01
19M,95,0,6,45,27,12,0,2.5,0,0
15M,95,0,5,47,11,15,0,2,0,0
16M,95,0,0,81,10,7,0.01,1,0,1
15P,95,0,14,30,4.5,37,2,3,1,0
15L,95,0,6,33,4,30,1.5,2,13,1
15S,95,0,1,2,1,57,0,1,70,0
15S-b,95,0,0.01,2,1,60,0.01,0.01,60,0
16P,95,0,1,60,7,7,0,1,0,0
13M,50,0,6,53,20,15,0,3,0,1
14P,50,0,5,65,7,7,1,1,0,0
10L-b,95,0,13,11,25,35,2,1,0.01,0
14M,50,0,2,38,50,8,2,1,0,2
11L-b,50,0,11,60,11,12.5,2,2.5,0,3.5
11M,50,0,25,38,17,22,0.01,4,0,1.5
11P,50,0,1,80,10,4,0,1,0,0.01
12M,95,0,5,15,10,10,3,1,1,0.01
12P,95,0,8,50,8,17,1,3,0,0
13L,50,0,9,50,9.5,16,0.01,3.5,0,5.5
13P,50,0,6,60,4,2,3,5,0,3
13L-b,50,0,11,45,13,16,2,1.5,0,4.5
10L,50,0,17,35,35,13,7,4,0,0
10M,50,0,3,70,11,15,0,1,0,5
10P,50,0,80,1,2,15,30,3,5,0
12L,95,0,10,30,70,30,5,0,1,5
12S,95,0,1,3,1,70,15,0,75,0
12S-b,95,0,1.5,3.5,0,40,4,0,70,0
8L-b,50,0,45,10,0,9,15,11,3,0
9P,50,0,11,80,5,12,0,4,0,12
11L,50,0,18,15,15,25,10,15,1,5
5M,95,0,35,25,40,8,1,3,0,1
9L,50,0,20,50,30,11,0,2,0,5
5S,95,0,0.01,0,0,30,10,1,70,0
8S,50,0,28,5,3,45,40,5,25,0
5L,95,0,30,40,28,15,1,1.5,2.5,0.5
5S-b,95,0,32,9,1,43,4,0,55,0
6L-b,95,0,2,60,15,14,2.5,0.5,7,4.5
6S,95,0,17,5,1,15,50,0,35,0
7L,50,0,0,25,35,2.5,2,3,0,21
9L-b,50,0,12,40,12,40,2,1,0,1
9M,50,0,10,60,14,32,1,4,0,0
7P,50,0,11,29,5,47,0.01,3,0,0.01
8M,50,0,1,45,12,6,0,3,0,11
6L,95,0,65,7,9,21,1,2.5,1.5,2
6M,50,0,11,44,19,25,3.5,4,0,3
7M,50,0,9,55,11,11,1.5,2.5,0,1
8L,95,0,12,40,12,52,1,3,3,9
8P,95,0,0.5,68,8,16,0,2,0,5
6P,50,0,6,48,6,32,0.01,3,0.01,0.01
3M,50,0,7,50,18,25,0,1,0,4
3P,50,0,25,65,15,8,0,1,0,2
3S-c,50,0,1,2,3,55,3,1,75,0
4M,50,0,11,42,33,10,0,5,0,1
5P,95,0,9,44,7,2.5,1.5,5,0,1
F71-6,0,0,15,20,9,10,1,2,0,0.01
F54-9,0,0,11,40,2.5,3.5,0.01,2,0,0.01
3L,50,0,10,65,15,25,1.5,1,0,14
3S-b,50,0,2,3,4,58,3,1,57,0
4L,50,0,5,15,10,40,2,5,5,1
4P,50,0,8,45,4,21,1.5,0.5,16,1
4S,50,0,0,0,0.01,79,0,0.01,91,0
7S,50,0,0.5,0.01,2,68,1,4.5,80,0
7S-b,50,0,1,1,2,75,0.01,3.5,53,0
1M,50,0,10,45,40,40,0,5,0,10
2M,50,0,3,30,50,35,0,3,0,3
2S-b,50,0,0,1,4,68,0,0.5,80,0.01
F71-4,0,0,11,32,10,8,0,3.5,0,0
F56-7,0,0,4,45,11,21,1,3,0,0.01
1L,50,0,15,15,15,45,1,0.01,30,1
1P,50,0,2,30,20,25,0,5,0,2
1S,50,0,8,4,10,40,3,1,19,6
2L,50,0,15,30,60,10,1,5,10,3
2P,50,0,1,60,8,11,2,1,0,8.5
F90-1,0,0,0,58,13,3,1.5,4,0,1.5
1S-b,50,0,2,12,8,27,1,2,45,0
2S,50,0,2,10,0.01,75,10,5,60,0
F99-3,0,0,17,50,10,4,7,13,0,0
F71-2,0,0,4,40,15,23,5,5,0,3
